RandomForest,XGBoost,SVC,MLP
0.19561530618227485,0.14455131965087395,0.1736173801536315,0.2613826175966077
0.2103439704122096,0.1895470500033593,0.21486291403791302,0.3348386105391131
0.18210855852792346,0.14973866371522918,0.17395818829716653,0.18740304768925736
0.20057345458698786,0.13963705567803697,0.17659180462571814,0.18642168914036447
0.1934369518834096,0.12443785349400972,0.18198455553948917,0.22129990590347196
0.21510992032492987,0.17406303984134677,0.22500345954265785,0.32500150238830694
0.21922082883402566,0.16112890548549635,0.20635341638089588,0.34522194429816655
0.19756621393349902,0.13791171243691822,0.18630871167694465,0.22587734654972672
0.18987163423623754,0.1310560518474709,0.169138943641534,0.2646020304720912
0.21340329194914415,0.1690573410425307,0.20468623823924637,0.26123136698735366
0.21129595394727105,0.18250744420421156,0.2070988380638729,0.20883699874565018
0.18988690217226556,0.1530957518339343,0.17720008654595518,0.24502588919139245
0.22309109076496822,0.2069661078018493,0.24589380929517657,0.33723011978892187
0.20467586781564429,0.16337161576247097,0.21673495465851933,0.27190329430275584
0.2473712463530743,0.18662116276204802,0.2128728898118764,0.31624651201175397
0.21939793151425668,0.18043737796424175,0.22333164372391642,0.29820002398642786
0.2153127478913128,0.14871419646692863,0.17702633687989167,0.19402731895004485
0.20669357857918855,0.15206771828453275,0.20434781412199723,0.257085277545718
0.2260110450229827,0.16296251941307296,0.2257903592048976,0.24191710350592843
0.2164116598325885,0.17422822920192615,0.2321357657864093,0.27747077206098725
